riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs184457411-A	8.00E-06	(liability model)	0.003	-	0.92 unit increase	[0.51-1.33]	SHANK2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1180346:16:00	27770636	Mez J
rs180751169-T	5.00E-06	(liability model)	0.002	-	0.94 unit increase	[0.53-1.35]	ADAM3A,ADAM18	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	659614:56:00	27770636	Mez J
rs188392327-A	2.00E-06	(liability model)	0.002	-	0.99 unit increase	[0.58-1.4]	UGT1A8,UGT1A10	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	3894193:25:00	27770636	Mez J
rs192232892-T	3.00E-06	(liability model)	0.002	-	0.99 unit increase	[0.58-1.4]	TBXAS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2332377:49:00	27770636	Mez J
rs149839710-A	9.00E-06	(liability model)	0.002	-	1.0 unit increase	[0.55-1.45]	KIFC3,CNGB1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	964505:46:00	27770636	Mez J
rs150631144-T	1.00E-07	(liability model)	0.002	-	1.13 unit increase	[0.72-1.54]	LINC02103,RNU6-909P	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	476302:07:00	27770636	Mez J
rs8077028-T	1.00E-06	(liability model)	0.751	-	0.09 unit decrease	[0.051-0.129]	TIMP2,CEP295NL	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1314882:59:00	27770636	Mez J
rs2244526-T	6.00E-06	(liability model)	0.824	-	0.09 unit decrease	[0.051-0.129]	SELP	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2826962:48:00	27770636	Mez J
rs17022021-T	8.00E-06	(liability model)	0.843	-	0.09 unit decrease	[0.051-0.129]	RBMS3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	480622:57:00	27770636	Mez J
rs1034435-A	3.00E-06	(liability model)	0.659	-	0.07 unit decrease	[0.031-0.109]	TAFA5	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	808229:23:00	27770636	Mez J
rs4760243-A	8.00E-06	(liability model)	0.566	-	0.07 unit decrease	[0.031-0.109]	LINC02388,LRIG3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	980479:10:00	27770636	Mez J
rs7260181-T	8.00E-06	(liability model)	0.57	-	0.07 unit decrease	[0.031-0.109]	PPP5D1P	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	776605:10:00	27770636	Mez J
rs12716755-A	6.00E-06	(liability model)	0.608	-	0.07 unit increase	[0.031-0.109]	KLHL36,USP10	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1411677:18:00	27770636	Mez J
rs3820443-T	1.00E-06	(liability model)	0.611	-	0.07 unit increase	[0.031-0.109]	PIFO	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1855839:03:00	27770636	Mez J
rs846858-A	3.00E-06	(liability model)	0.272	-	0.08 unit increase	[0.041-0.119]	IGSF23	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	743777:48:00	27770636	Mez J
rs5771225-T	5.00E-06	(liability model)	0.217	-	0.09 unit increase	[0.051-0.129]	SELENOO	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	836706:04:00	27770636	Mez J
rs7313581-T	8.00E-07	(liability model)	0.218	-	0.09 unit increase	[0.051-0.129]	RNU4-67P,KRAS	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	421175:03:00	27770636	Mez J
rs2699450-A	4.00E-06	(liability model)	0.211	-	0.09 unit increase	[0.051-0.129]	RAPGEF5,CDCA7L	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	366983:13:00	27770636	Mez J
rs6945197-T	6.00E-06	(liability model)	0.16	-	0.09 unit increase	[0.051-0.129]	TRPC6P8,ZP3P2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2274624:42:00	27770636	Mez J
rs184992198-T	2.00E-06	(liability model)	0.816	-	0.11 unit increase	[0.071-0.149]	ZNF90,BNIP3P13	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	334429:49:00	27770636	Mez J
rs115972394-A	6.00E-06	(liability model)	0.147	-	0.11 unit increase	[0.051-0.169]	ACTR3C,ATP6V0E2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2498755:41:00	27770636	Mez J
rs73215707-T	8.00E-06	(liability model)	0.908	-	0.12 unit increase	[0.061-0.179]	LINC01866,CYRIA	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	278947:02:00	27770636	Mez J
rs79926713-T	8.00E-06	(liability model)	0.082	-	0.13 unit increase	[0.071-0.189]	SYNGAP1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	557135:05:00	27770636	Mez J
rs73732514-A	2.00E-06	(liability model)	0.929	-	0.14 unit increase	[0.081-0.199]	Y_RNA,CTD-2194D22.4	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	33068:37:00	27770636	Mez J
rs62177277-T	2.00E-06	(liability model)	0.056	-	0.16 unit increase	[0.1-0.22]	SESTD1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2985664:01:00	27770636	Mez J
rs73681522-A	4.00E-06	(liability model)	0.051	-	0.16 unit increase	[0.082-0.238]	RBMX2P4,ETV1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	227618:48:00	27770636	Mez J
rs2234017-C	7.00E-06	(liability model)	0.056	-	0.17 unit increase	[0.092-0.248]	TAS2R5	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2363194:46:00	27770636	Mez J
rs147597631-T	2.00E-06	(liability model)	0.061	-	0.18 unit increase	[0.1-0.26]	CSNK2A1,TCF15	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	9468:35:00	27770636	Mez J
rs145848414-A	3.00E-06	(liability model)	0.04	-	0.21 unit increase	[0.13-0.29]	HIGD1AP3,SUMO2P6	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2909790:11:00	27770636	Mez J
rs147985478-A	3.00E-06	(liability model)	0.977	-	0.25 unit increase	[0.15-0.35]	PRANCR	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1166644:29:00	27770636	Mez J
rs116050881-T	6.00E-07	(liability model)	0.026	-	0.25 unit increase	[0.15-0.35]	LINC01756,LINC01648	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	494738:32:00	27770636	Mez J
rs181990369-A	4.00E-06	(liability model)	0.988	-	0.37 unit decrease	[0.21-0.53]	DLC1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	219710:35:00	27770636	Mez J
rs181228315-A	2.00E-06	(liability model)	0.986	-	0.35 unit decrease	[0.21-0.49]	TMEM94	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1257576:11:00	27770636	Mez J
rs147150305-A	4.00E-07	(liability model)	0.984	-	0.35 unit decrease	[0.21-0.49]	PLCL1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	3304216:06:00	27770636	Mez J
rs187295598-T	6.00E-06	(liability model)	0.988	-	0.34 unit decrease	[0.18-0.5]	GPR180	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1577155:59:00	27770636	Mez J
rs142660142-T	2.00E-06	(liability model)	0.986	-	0.34 unit decrease	[0.2-0.48]	HMG20A,LINGO1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1293532:30:00	27770636	Mez J
rs77544685-T	5.00E-06	(liability model)	0.013	-	0.33 unit decrease	[0.19-0.47]	RPL15P15,LINC02151	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1934718:36:00	27770636	Mez J
rs144167489-T	2.00E-06	(liability model)	0.017	-	0.32 unit decrease	[0.18-0.46]	LINC00626,SUMO1P2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2814580:34:00	27770636	Mez J
rs75635567-T	5.00E-06	(liability model)	0.985	-	0.3 unit decrease	[0.16-0.44]	BAALC,BAALC-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1719791:09:00	27770636	Mez J
rs146997164-C	9.00E-06	(liability model)	0.97	-	0.26 unit decrease	[0.14-0.38]	OR7E39P,CCZ1B	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	113848:21:00	27770636	Mez J
rs146322114-A	2.00E-06	(liability model)	0.029	-	0.25 unit decrease	[0.15-0.35]	PCSK6	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1691712:00:00	27770636	Mez J
rs12661302-C	3.00E-06	(liability model)	0.977	-	0.25 unit decrease	[0.15-0.35]	R3HDM2P2,GRIK2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1730293:32:00	27770636	Mez J
rs186588455-A	6.00E-06	(liability model)	0.964	-	0.22 unit decrease	[0.12-0.32]	MRPL45,NPEPPSP1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	638143:46:00	27770636	Mez J
rs115443594-T	4.00E-06	(liability model)	0.966	-	0.22 unit decrease	[0.12-0.32]	CDH7,PRPF19P1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1099913:23:00	27770636	Mez J
rs114179644-T	8.00E-06	(liability model)	0.969	-	0.21 unit decrease	[0.11-0.31]	CPSF6,CPM	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1152684:29:00	27770636	Mez J
rs145840463-A	6.00E-06	(liability model)	0.036	-	0.21 unit decrease	[0.11-0.31]	CFAP74	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	32505:53:00	27770636	Mez J
rs10075047-A	5.00E-06	(liability model)	0.032	-	0.21 unit decrease	[0.11-0.31]	CCDC112,CTNNA1P1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1922637:57:00	27770636	Mez J
rs10060040-A	8.00E-06	(liability model)	0.053	-	0.17 unit decrease	[0.092-0.248]	CTNND2,RNU6-679P	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	198838:45:00	27770636	Mez J
rs62179067-T	8.00E-07	(liability model)	0.941	-	0.16 unit decrease	[0.1-0.22]	SESTD1,RAD52P1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2987842:56:00	27770636	Mez J
rs56249755-A	5.00E-07	(liability model)	0.939	-	0.16 unit decrease	[0.1-0.22]	FAM240B	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	645192:29:00	27770636	Mez J
rs115317194-T	2.00E-06	(liability model)	0.067	-	0.15 unit decrease	[0.091-0.209]	SLMAP	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	963839:55:00	27770636	Mez J
rs75770912-A	8.00E-06	(liability model)	0.074	-	0.14 unit decrease	[0.081-0.199]	AOX1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	3344224:01:00	27770636	Mez J
rs7698880-C	2.00E-06	(liability model)	0.124	-	0.14 unit decrease	[0.081-0.199]	UNC93B4	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	69149:01:00	27770636	Mez J
rs76816469-T	1.00E-06	(liability model)	0.101	-	0.12 unit decrease	[0.061-0.179]	CDH1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1146012:20:00	27770636	Mez J
rs61233297-A	8.00E-06	(liability model)	0.094	-	0.11 unit decrease	[0.051-0.169]	IQGAP2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1276127:15:00	27770636	Mez J
rs853656-T	4.00E-06	(liability model)	0.167	-	0.09 unit decrease	[0.051-0.129]	RASSF8	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	432765:59:00	27770636	Mez J
rs116530595-T	9.00E-06	(liability model)	0.018	-	0.26 unit increase	[0.14-0.38]	C9orf152,TXN	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1836902:09:00	27770636	Mez J
rs147582129-T	9.00E-06	(liability model)	0.016	-	0.28 unit increase	[0.16-0.4]	FAT3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1540378:32:00	27770636	Mez J
rs72998574-T	2.00E-06	(liability model)	0.022	-	0.28 unit increase	[0.16-0.4]	R3HDM2P2,GRIK2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1732836:46:00	27770636	Mez J
rs144471255-A	3.00E-06	(liability model)	0.018	-	0.31 unit increase	[0.17-0.45]	RDX	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1834314:08:00	27770636	Mez J
rs144216026-A	8.00E-06	(liability model)	0.017	-	0.31 unit increase	[0.17-0.45]	ABCA8	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1148689:34:00	27770636	Mez J
rs137869973-T	2.00E-07	(liability model)	0.025	-	0.31 unit increase	[0.19-0.43]	RNA5SP261,KCTD9P6	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	520609:24:00	27770636	Mez J
rs72840936-C	5.00E-07	(liability model)	0.018	-	0.32 unit increase	[0.2-0.44]	STEAP3-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1987770:36:00	27770636	Mez J
rs148587130-T	7.00E-06	(liability model)	0.013	-	0.36 unit increase	[0.2-0.52]	NEK10	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	453952:35:00	27770636	Mez J
rs185126971-A	8.00E-06	(liability model)	0.011	-	0.37 unit increase	[0.21-0.53]	ERO1A,PSMC6	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	878384:50:00	27770636	Mez J
rs73239797-A	2.00E-06	(liability model)	0.013	-	0.39 unit increase	[0.23-0.55]	RNU7-188P,SEM1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1607447:04:00	27770636	Mez J
rs113884973-C	8.00E-06	(liability model)	0.008	-	0.43 unit increase	[0.23-0.63]	MIR4431,ASB3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	887617:02:00	27770636	Mez J
rs182972826-T	4.00E-06	(liability model)	0.007	-	0.44 unit increase	[0.24-0.64]	SEC24B	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1825576:30:00	27770636	Mez J
rs112920270-A	9.00E-06	(liability model)	0.008	-	0.45 unit increase	[0.25-0.65]	STK31,RNA5SP228	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	398872:16:00	27770636	Mez J
rs141104697-A	8.00E-06	(liability model)	0.007	-	0.46 unit increase	[0.26-0.66]	GTF2H3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2060608:44:00	27770636	Mez J
rs144464515-C	2.00E-06	(liability model)	0.01	-	0.46 unit increase	[0.26-0.66]	ZNRF4,PTPRS	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	90310:22:00	27770636	Mez J
rs191707442-T	6.00E-06	(liability model)	0.008	-	0.47 unit increase	[0.27-0.67]	PPP1R3B-DT	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	153041:20:00	27770636	Mez J
rs150269952-T	6.00E-06	(liability model)	0.009	-	0.48 unit increase	[0.26-0.7]	RASSF5	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	3442106:52:00	27770636	Mez J
rs144998240-A	8.00E-07	(liability model)	0.006	-	0.5 unit increase	[0.3-0.7]	COL25A1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1820866:10:00	27770636	Mez J
rs138543081-T	1.00E-06	(liability model)	0.009	-	0.5 unit increase	[0.3-0.7]	RAD23B,ZNF462	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1784073:41:00	27770636	Mez J
rs192013290-T	1.00E-06	(liability model)	0.006	-	0.51 unit increase	[0.29-0.73]	HMCN1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	3096346:42:00	27770636	Mez J
rs144077517-A	2.00E-06	(liability model)	0.005	-	0.54 unit increase	[0.32-0.76]	SCAPER	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1272559:46:00	27770636	Mez J
rs142835438-A	8.00E-07	(liability model)	0.007	-	0.54 unit increase	[0.32-0.76]	LINC02986,RPSAP47	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1342599:10:00	27770636	Mez J
rs184695264-T	4.00E-06	(liability model)	0.005	-	0.58 unit increase	[0.33-0.83]	LINC02421,LINC01479	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1129683:00:00	27770636	Mez J
rs921390-T	1.00E-06	(liability model)	0.005	-	0.58 unit increase	[0.34-0.82]	LINC02114,LINC02063	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	75265:59:00	27770636	Mez J
rs150291119-A	3.00E-06	(liability model)	0.005	-	0.6 unit increase	[0.35-0.85]	NAALADL2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2912828:22:00	27770636	Mez J
rs144573434-T	5.00E-07	(liability model)	0.997	-	1.14 unit decrease	[0.69-1.59]	RPS19P6,RPS20P25	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1351336:47:00	27770636	Mez J
rs145282773-T	2.00E-06	(liability model)	0.997	-	1.04 unit decrease	[0.61-1.47]	HMGA2,HMGA2-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1097670:39:00	27770636	Mez J
rs147285445-T	4.00E-06	(liability model)	0.998	-	1.03 unit decrease	[0.6-1.46]	ANKRD22	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1480848:05:00	27770636	Mez J
rs186891871-C	9.00E-06	(liability model)	0.998	-	0.98 unit decrease	[0.55-1.41]	ADGRL2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1359829:30:00	27770636	Mez J
rs141976661-A	5.00E-07	(liability model)	0.997	-	0.88 unit decrease	[0.55-1.21]	LINC00624	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2458059:33:00	27770636	Mez J
rs139638356-T	2.00E-06	(liability model)	0.996	-	0.83 unit decrease	[0.48-1.18]	RPS20P25,RPS19P6	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1348397:20:00	27770636	Mez J
rs185170954-A	9.00E-06	(liability model)	0.997	-	0.82 unit decrease	[0.47-1.17]	RAD23BP2,SEMA3A	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1397856:26:00	27770636	Mez J
rs115798104-A	9.00E-07	(liability model)	0.997	-	0.8 unit decrease	[0.49-1.11]	MECOM	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2821220:26:00	27770636	Mez J
rs181696879-A	4.00E-07	(liability model)	0.994	-	0.67 unit decrease	[0.42-0.92]	MCPH1-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	111355:30:00	27770636	Mez J
rs138449900-C	3.00E-06	(liability model)	0.996	-	0.66 unit decrease	[0.39-0.93]	RN7SKP102,CNTNAP5-DT	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2065854:01:00	27770636	Mez J
rs141846544-T	9.00E-06	(liability model)	0.996	-	0.65 unit decrease	[0.36-0.94]	RNU6-1213P,Y_RNA	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1340554:33:00	27770636	Mez J
rs117022236-A	4.00E-06	(liability model)	0.995	-	0.63 unit decrease	[0.36-0.9]	AKR7A3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	321474:54:00	27770636	Mez J
rs140587050-C	5.00E-06	(liability model)	0.995	-	0.63 unit decrease	[0.36-0.9]	IRAK1BP1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1314828:00:00	27770636	Mez J
rs183291664-T	3.00E-06	(liability model)	0.996	-	0.58 unit decrease	[0.34-0.82]	SCAPER	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1278578:42:00	27770636	Mez J
rs142076474-A	4.00E-06	(liability model)	0.994	-	0.58 unit decrease	[0.34-0.82]	CEP63	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2241694:19:00	27770636	Mez J
rs181299481-A	4.00E-06	(liability model)	0.994	-	0.58 unit decrease	[0.33-0.83]	MIR7702,RNY4P18	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1852493:59:00	27770636	Mez J
rs191404864-A	5.00E-06	(liability model)	0.006	-	0.53 unit decrease	[0.29-0.77]	BICRA	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	793937:03:00	27770636	Mez J
rs112404845-A	4.00E-08	(liability model)	0.991	-	0.47 unit decrease	[0.29-0.65]	ROBO2P1,CICP17	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	858512:25:00	27770636	Mez J
rs183256737-A	2.00E-06	(liability model)	0.993	-	0.46 unit decrease	[0.26-0.66]	SEC24B-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1822892:30:00	27770636	Mez J
rs79930850-A	3.00E-06	(liability model)	0.99	-	0.45 unit decrease	[0.25-0.65]	LINC02552,CASP12	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1747911:43:00	27770636	Mez J
rs143261188-C	3.00E-06	(liability model)	0.992	-	0.44 unit decrease	[0.24-0.64]	TENM4	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1315653:51:00	27770636	Mez J
rs115078773-A	7.00E-06	(liability model)	0.992	-	0.44 unit decrease	[0.24-0.64]	TMCO4	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	328218:12:00	27770636	Mez J
rs139195876-A	2.00E-06	(liability model)	0.99	-	0.43 unit decrease	[0.25-0.61]	NACAP6,LINC02150	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	271053:56:00	27770636	Mez J
rs16961023-C	5.00E-08	(liability model)	0.985	-	0.41 unit decrease	[0.27-0.55]	SLC10A2,METTL21EP	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1716872:55:00	27770636	Mez J
rs72842919-A	5.00E-07	(liability model)	0.985	-	0.38 unit decrease	[0.22-0.54]	DYSF,RPS20P10	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1198971:36:00	27770636	Mez J
rs1060743-?	5.00E-08	-	NR	1.1066935	-	-	BIN1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	2117817:57:00	28714976	Sims R
rs1532278-?	6.00E-10	-	NR	1.1177499	-	-	CLU	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	460154:38:00	28714976	Sims R
rs3865444-?	2.00E-06	-	NR	1.0942049	-	-	CD33,SIGLEC22P	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	853764:06:00	28714976	Sims R
rs6656401-?	7.00E-11	-	NR	1.1725225	-	-	CR1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	3458646:04:00	28714976	Sims R
